Filename | True Label | Predicted Label | Confidence
--------------------------------------------------------------------------------
webcam_1783789824982_multi_splice_merge_1_ef9f2ecf.npy | yourself        | i_alphabet      | 0.9926
webcam_1783789915428_tempo_aligned_splice_merge_0_5e2461e9.npy | yourself        | d               | 0.9922
webcam_1783787330907.npy                 | yourself        | l               | 0.9913
webcam_1783835363354_left_right_cross_swap_merge_1_3d3cf0af.npy | yourself        | d               | 0.9902
webcam_1783838490978_aug_0_92080ca4.npy  | yourself        | d               | 0.9889
webcam_1783787100389_hybrid_merge_1_8efcf9f5.npy | yourself        | d               | 0.9887
webcam_1783789824982_hand_swap_merge_0_c1f55d99.npy | yourself        | i_alphabet      | 0.9880
webcam_1783787330907_left_right_cross_swap_merge_1_52497c9b.npy | yourself        | light           | 0.9875
webcam_1783831974306_multi_splice_merge_1_4019f681.npy | yourself        | e               | 0.9874
webcam_1783834028855_splice_merge_0_f2fdec81.npy | yourself        | l               | 0.9866
webcam_1783790268714_splice_merge_0_10fb9e15.npy | yourself        | d               | 0.9860
webcam_dup_webcam_dup_webcam_left_right_cross_swap_merge_1_4fbcf241.npy | yourself        | tall            | 0.9858
webcam_1777531338981_aug_0_784370c8_merge_0_0bdcc88e_merge_0_ecc30d47_aug_0_c59440a7_aug_1_611b59f2_hand_swap_merge_0_cd0c6298_splice_merge_0_85610827.npy | yourself        | me              | 0.9838
webcam_1777447019848_aug_0_0d62c085.npy  | yourself        | blind           | 0.9838
webcam_1783831709241_hand_swap_merge_0_bf48a059.npy | yourself        | tight           | 0.9833
webcam_1783834146388.npy                 | yourself        | evening         | 0.9829
webcam_1783831776276_proximity_only_swap_merge_0_15dc7699.npy | yourself        | tight           | 0.9824
webcam_1775878760921_aug_1_7250a0b9_aug_0_efd4c9dd_aug_2_80fa6e0a.npy | yourself        | bad             | 0.9820
webcam_1783834984501_tempo_aligned_splice_merge_1_51d40df8.npy | yourself        | language        | 0.9819
webcam_1783786993281.npy                 | yourself        | hot             | 0.9807
webcam_1783834146388_tempo_aligned_splice_merge_1_c2b3cb57.npy | yourself        | evening         | 0.9807
webcam_1783834262690_crossfade_splice_merge_0_2f3165b4.npy | yourself        | long            | 0.9805
webcam_1783838194362_multi_splice_merge_0_8765ed43.npy | yourself        | d               | 0.9798
webcam_1783789761937.npy                 | yourself        | sick            | 0.9797
webcam_1777531393531_aug_0_c3e03e42_aug_0_c15926b5_aug_2_784fefec_hand_swap_merge_0_7b22001b_splice_merge_0_15e575ac.npy | yourself        | me              | 0.9796
webcam_1775878775097_aug_2_fb6b152c_aug_1_9af5cddd_aug_1_c51289f7.npy | yourself        | bad             | 0.9796
webcam_1783787402453_hybrid_merge_1_efecde09.npy | yourself        | d               | 0.9796
webcam_1783838863134_aug_0_3a2a3c8a.npy  | yourself        | tight           | 0.9795
webcam_1783835512616_tempo_aligned_splice_merge_0_40a3a9f0.npy | yourself        | d               | 0.9792
webcam_1783831702131_multi_splice_merge_0_2cddb12f.npy | yourself        | tight           | 0.9792
webcam_1783835229653_left_right_cross_swap_merge_1_7be35567.npy | yourself        | language        | 0.9792
webcam_1783789761937_hand_swap_merge_1_c9638a36.npy | yourself        | sick            | 0.9792
webcam_1783789729469_multi_splice_merge_0_147c1eab.npy | yourself        | sick            | 0.9791
webcam_1783834146388_hand_swap_merge_1_62cf06f7.npy | yourself        | evening         | 0.9789
webcam_1783838392037.npy                 | yourself        | d               | 0.9788
webcam_1783835263037_hybrid_merge_1_843137cf.npy | yourself        | language        | 0.9788
webcam_1783833352366_tempo_aligned_splice_merge_1_1ad9f31a.npy | yourself        | healthy         | 0.9787
webcam_1783831709241.npy                 | yourself        | tight           | 0.9783
webcam_1783838758999_tempo_aligned_splice_merge_1_d62a828a.npy | yourself        | sick            | 0.9778
webcam_1783831702131_left_right_cross_swap_merge_1_e896599d.npy | yourself        | e               | 0.9776
webcam_1783835541930_hand_swap_merge_0_ac17d21b.npy | yourself        | language        | 0.9776
webcam_1783833320239_tempo_aligned_splice_merge_1_6580553c.npy | yourself        | healthy         | 0.9771
webcam_1777533348135_aug_0_b2973df4_aug_2_a7d114a6_aug_1_e1ee4977_aug_0_b21c21f1_aug_2_ee23f9f4_aug_2_980414e6.npy | yourself        | me              | 0.9770
webcam_1783835470109_tempo_aligned_splice_merge_0_c6a5d6de.npy | yourself        | language        | 0.9770
webcam_1783833917172_splice_merge_0_cf6ffa0e.npy | yourself        | evening         | 0.9768
webcam_1783833248551_tempo_aligned_splice_merge_0_49b54d8f.npy | yourself        | healthy         | 0.9761
webcam_1783838490978.npy                 | yourself        | d               | 0.9760
webcam_1775878760921_aug_1_7250a0b9_aug_2_eeef9202_aug_1_b6c61d68.npy | yourself        | bad             | 0.9760
webcam_1783787455948.npy                 | yourself        | language        | 0.9759
webcam_1783787976280_tempo_aligned_splice_merge_1_27b9dd3e.npy | yourself        | cool            | 0.9758
